,,,El METODO CLEE,,,,,,
,,,,,,,,,
,,,,,,,,,
,MP:,Lina Toro,,,,,,,
,Proyecto:,Jabonería Artesanal,,,,,,,
,# Fase ,Nombre de Fase,Tarea ,Sub Tarea,Responsable ,Fecha Límite,Prioridad,Estado,Comentarios
,0,Análisis y Diagnóstico,Métricas,Compartir Métricas,MP,,Completado,Completado,
,0,Análisis y Diagnóstico,Métricas,Análizar Métricas,JC,,Completado,Completado,
,0,Análisis y Diagnóstico,Métricas,Generar Informe,JC,,Completado,Completado,
,0,Análisis y Diagnóstico,Métricas,Revisión de Métricas,JC+MP,,Completado,Completado,
,0,Análisis y Diagnóstico,Inv. Competencia,Compartir referentes,MP,,Completado,Completado,
,0,Análisis y Diagnóstico,Inv. Competencia,Análisis de Referentes,JC,,Completado,Completado,
,0,Análisis y Diagnóstico,Inv. Competencia,Generar Informe ,JC,,Completado,Completado,
,0,Análisis y Diagnóstico,Inv. Competencia,Llamada Análisis Comp.,JC+MP,,Completado,Completado,
,0,Análisis y Diagnóstico,HIstoria del Héroe,Llamada HDH,JC+MP,,Importante,Pendiente,
,0,Análisis y Diagnóstico,Encuesta Aud.,Elaborar Encuesta,JC+MP,,Importante,Pendiente,
,0,Análisis y Diagnóstico,Encuesta Aud.,Distribuir Encuesta,MP,,Importante,Pendiente,
,0,Análisis y Diagnóstico,Encuesta Aud.,Análisis de Encuesta,JC+MP,,Normal,Pendiente,
,0,Análisis y Diagnóstico,Encuesta Aud.,Revisión de Análisis,JC+MP,,Normal,Pendiente,
,0,Análisis y Diagnóstico,Avatares y BP,Creación de Clusters,MP,,Normal,Pendiente,
,0,Análisis y Diagnóstico,Avatares y BP,Análisis Avatares 12 bloques,MP,,Normal,Pendiente,
,0,Análisis y Diagnóstico,Avatares y BP,Revisión de Avatares,JC+MP,,Normal,Pendiente,
,0,Análisis y Diagnóstico,Optimización de Oferta,Análisis Actual + visión,MP,,Importante,En Progreso,
,0,Análisis y Diagnóstico,Optimización de Oferta,Análisis Actual + propuesta estratégica,JC,,Importante,En Progreso,
,0,Análisis y Diagnóstico,Optimización de Oferta,Revisión conjunta. + Definición de oferta,JC+MP,,Importante,En Progreso,
,0,Análisis y Diagnóstico,Mejora de Producto,Evaluación Actual + propuesta estratégica,JC+MP,,Importante,En Progreso,
,0,Análisis y Diagnóstico,Mejora de Producto,Revisión final,JC+MP,,Importante,En Progreso,
,0,Análisis y Diagnóstico,Coherencia de Marca,Branding,MP,,Imp+Urg.,En Progreso,
,0,Análisis y Diagnóstico,Coherencia de Marca,Foto,MP,,Imp+Urg.,En Progreso,
,0,Análisis y Diagnóstico,Coherencia de Marca,Contenidos,JC+MP,,Normal,Pendiente,
,0,Análisis y Diagnóstico,Creación de PUV's,PUV Marca,JC+MP,,Importante,Pendiente,
,0,Análisis y Diagnóstico,Creación de PUV's,PUV Producto,JC+MP,,Importante,Pendiente,
,0,Análisis y Diagnóstico,Creación de PUV's,PUV Lanzamiento,JC+MP,,Importante,Pendiente,
,1,Creación,Casa Dig. - Comunidad,Construcción del espacio,JC+MP,,Urgente,Pendiente,
,1,Creación,Casa Dig. - Comunidad,Definir módulos y escalera de valor,JC+MP,,Imp+Urg.,En Progreso,
,1,Creación,Casa Dig. - Comunidad,Definir gamificación (si aplica),JC+MP,,Imp+Urg.,Pendiente,
,1,Creación,Casa Dig. - Comunidad,Cargar o crear productos/cursos,MP,,Importante,Pendiente,Confirmar tiempos para grabar y editar
,1,Creación,Casa Dig. - Comunidad,"Crear, grabar y montar empieza aquí",MP,,Importante,Pendiente,
,1,Creación,Casa Dig. - Comunidad,"Definir, grabar y montar reglas",MP,,Importante,Pendiente,
,1,Creación,Casa Dig. - Comunidad,Definir frecuencia de llamadas y agendar,MP,,Normal,Pendiente,
,1,Creación,Sistemas de venta,Crear Business Manager Meta,JC,,Normal,Pendiente,
,1,Creación,Sistemas de venta,Configurar Business Manager Meta,JC,,Normal,Pendiente,
,1,Creación,Sistemas de venta,Cuenta de GHL + configuración,JC+MP,,Completado,Completado,
,1,Creación,Sistemas de venta,Construir Embudos,JC,,Normal,Pendiente,
,1,Creación,Sistemas de venta,Crear página de registro,JC,,,Pendiente,
,1,Creación,Sistemas de venta,Pag. Registro VSL,MP,,,Pendiente,
,1,Creación,Sistemas de venta,Pag. Registro Copy's,JC+MP,,,,
,1,Creación,Sistemas de venta,Pag. Registro - Revisión final,JC+MP,,,,
,1,Creación,Sistemas de venta,Crear página de gracias,JC,,,,
,1,Creación,Sistemas de venta,Pag. Gracias Copy's,JC+MP,,,,
,1,Creación,Sistemas de venta,Pag. Gracias VSL,MP,,,,
,1,Creación,Sistemas de venta,Pag. Gracias Conectar Whatsapp,JC,,,,
,1,Creación,Sistemas de venta,Cuenta Funnelchat,MP,,,,
,1,Creación,Sistemas de venta,Configuración Funnelchat,MP,,,,
,1,Creación,Sistemas de venta,Crear comunidad whatsapp,JC+MP,,,Completado,
,1,Creación,Sistemas de venta,Automatización Correos,JC+MP,,,,
,1,Creación,Sistemas de venta,Prueba de embudos (customer Journy),JC+MP,,,,
,1,Creación,Estrategia de contenido,Comunicación Orgánica,,,Normal,NA,
,1,Creación,Estrategia de contenido,Definir roles de redes sociales,,,Normal,NA,
,1,Creación,Estrategia de contenido,Ads,,,Normal,NA,
,1,Creación,Producto,Revisión de OMV,,,Normal,NA,
,2,Lanzamiento + Validación,Captación - Invitación,Contenido Org - Guionización ,,,Normal,NA,
,2,Lanzamiento + Validación,Captación - Invitación,Contenido Org - Grabación ,,,Normal,NA,
,2,Lanzamiento + Validación,Captación - Invitación,Contenido Org - Edición ,,,Normal,NA,
,2,Lanzamiento + Validación,Captación - Invitación,Contenido Org - Ejecución ,,,Normal,NA,
,2,Lanzamiento + Validación,Captación - Invitación,Ads - Guionización,,,Normal,NA,
,2,Lanzamiento + Validación,Captación - Invitación,Ads - Grabación,,,Normal,NA,
,2,Lanzamiento + Validación,Captación - Invitación,Ads - Edición,,,Normal,NA,
,2,Lanzamiento + Validación,Captación - Invitación,Ads - Ejecución de campañas,,,Normal,NA,
,2,Lanzamiento + Validación,Captación - Invitación,Ads - Seguimiento y opt. de campañas,,,Normal,NA,
,2,Lanzamiento + Validación,Captación - Invitación,Ads Retargeting Whatsapp,,,,,
,2,Lanzamiento + Validación,Captación - Invitación,Mails - Guionización,,,Normal,NA,
,2,Lanzamiento + Validación,Captación - Invitación,Mails - Ejecución,,,Normal,NA,
,2,Lanzamiento + Validación,Captación - Invitación,Ejecución día 1...,,,Normal,NA,
,2,Lanzamiento + Validación,Captación - Invitación,Ejecución día 2...,,,Normal,NA,
,2,Lanzamiento + Validación,Captación - Conciencia,Guionizar Whatsapp,,,Normal,NA,
,2,Lanzamiento + Validación,Captación - Conciencia,Guionizar Mail,,,Normal,NA,
,2,Lanzamiento + Validación,Captación - Conciencia,Regalo día 1 ,,,Normal,NA,
,2,Lanzamiento + Validación,Captación - Conciencia,Estrategia YouTube Pildoras,,,Normal,NA,
,2,Lanzamiento + Validación,Captación - Conciencia,Grabación YouTube Pildoras,,,Normal,NA,
,2,Lanzamiento + Validación,Captación - Conciencia,Edición YouTube Pildoras,,,Normal,NA,
,2,Lanzamiento + Validación,Captación - Conciencia,Encuesta,,,Normal,NA,
,2,Lanzamiento + Validación,Captación - Conciencia,Ejecución día 1...,,,Normal,NA,
,2,Lanzamiento + Validación,Captación - Conciencia,Ejecución día 2...,,,Normal,NA,
,2,Lanzamiento + Validación,Captación - Conciencia,Ejecución día 3...,,,Normal,NA,
,2,Lanzamiento + Validación,Captación - Conciencia,Ejecución día 4...,,,Normal,NA,
,2,Lanzamiento + Validación,Captación - Conciencia,Ejecución día 5...,,,Normal,NA,
,2,Lanzamiento + Validación,Captación - Conciencia,Ejecución día 6...,,,Normal,NA,
,2,Lanzamiento + Validación,Captación - Conciencia,Ejecución día 7...,,,Normal,NA,
,2,Lanzamiento + Validación,Entrenamiento,,,,Normal,NA,
,2,Lanzamiento + Validación,Venta,,,,Normal,NA,
,3,Eficientizar con IA,,,,,Normal,NA,
,4,Sistemas (SOP's) + Escalado,,,,,Normal,NA,
,,,,,,,Normal,NA,
,,,,,,,Normal,NA,
,,,,,,,Normal,NA,
,,,,,,,Normal,NA,
,,,,,,,Normal,NA,
,,,,,,,Normal,NA,
,,,,,,,Normal,NA,
,,,,,,,Normal,NA,
,,,,,,,Normal,NA,
,,,,,,,Normal,NA,
,,,,,,,Normal,NA,
,,,,,,,Normal,NA,
,,,,,,,Normal,NA,
,,,,,,,Normal,NA,
,,,,,,,Normal,NA,
,,,,,,,Normal,NA,
,,,,,,,Normal,NA,
,,,,,,,Normal,NA,
,,,,,,,Normal,NA,
,,,,,,,Normal,NA,
,,,,,,,Normal,NA,
,,,,,,,Normal,NA,
,,,,,,,Normal,NA,
,,,,,,,Normal,NA,
,,,,,,,Normal,NA,
,,,,,,,Normal,NA,